SurveyTrailmakingResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,NumberOfErrors,StartDate,EndDate,Taps
9320d31b-d94e-ed11-aac0-0afb9334277d,7b20d31b-d94e-ed11-aac0-0afb9334277d,6120d31b-d94e-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,0,2022-10-18T07:36:20-04:00,2022-10-18T07:36:32-04:00,"[{""TapTimestamp"":1.1969950199127197,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":3.0787069797515869,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":5.3796859979629517,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":5.6702790260314941,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":6.3946869373321533,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":6.8707790374755859,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":7.2794400453567505,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":7.9698929786682129,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":8.47432804107666,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":8.8119449615478516,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":9.7118380069732666,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":9.93648099899292,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":10.16915500164032,""TapIndex"":12,""TapIncorrect"":false}]"
0cbc21c3-d94e-ed11-aac0-0afb9334277d,f9bb21c3-d94e-ed11-aac0-0afb9334277d,ecbb21c3-d94e-ed11-aac0-0afb9334277d,fed3a16b-c5a3-4a84-a111-32b7574e04b5,1,2022-10-18T07:40:59-04:00,2022-10-18T07:41:09-04:00,"[{""TapTimestamp"":1.1427910327911377,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":1.8477990627288818,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":2.3725169897079468,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.0980089902877808,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":3.9720420837402344,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":4.8628630638122559,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":5.0828729867935181,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":5.4895620346069336,""TapIndex"":8,""TapIncorrect"":true},{""TapTimestamp"":6.21152400970459,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":6.554190993309021,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":6.8380030393600464,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":7.7800190448760986,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":8.2222220897674561,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":8.5818710327148438,""TapIndex"":12,""TapIncorrect"":false}]"
1a364697-dc4e-ed11-aac0-0afb9334277d,ff354697-dc4e-ed11-aac0-0afb9334277d,e3354697-dc4e-ed11-aac0-0afb9334277d,39efadc3-7957-4b75-b560-d0d6c89cfe8b,1,2022-10-18T08:01:23-04:00,2022-10-18T08:01:33-04:00,"[{""TapTimestamp"":1.7154419422149658,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":1.9493750333786011,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":2.7513949871063232,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.0852090120315552,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":3.9936050176620483,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":4.2685869932174683,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":4.7160519361495972,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":5.043321967124939,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":6.3431999683380127,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":6.743602991104126,""TapIndex"":11,""TapIncorrect"":true},{""TapTimestamp"":7.9883170127868652,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":8.5351129770278931,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":8.7347339391708374,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":9.0087920427322388,""TapIndex"":12,""TapIncorrect"":false}]"
06422fa9-dc4e-ed11-aac0-0afb9334277d,ee412fa9-dc4e-ed11-aac0-0afb9334277d,d4412fa9-dc4e-ed11-aac0-0afb9334277d,39efadc3-7957-4b75-b560-d0d6c89cfe8b,2,2022-10-18T08:01:50-04:00,2022-10-18T08:02:01-04:00,"[{""TapTimestamp"":1.4233959913253784,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":1.9895689487457275,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":2.6479159593582153,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.6310939788818359,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":4.3982069492340088,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":4.5130759477615356,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":5.6146650314331055,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":6.2259809970855713,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":6.5718460083007812,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":6.8724360466003418,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":7.2644170522689819,""TapIndex"":11,""TapIncorrect"":true},{""TapTimestamp"":7.9225070476531982,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":8.2641110420227051,""TapIndex"":12,""TapIncorrect"":true},{""TapTimestamp"":8.9883589744567871,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":9.2228809595108032,""TapIndex"":12,""TapIncorrect"":false}]"
a39acb3f-de4e-ed11-aac0-0afb9334277d,739acb3f-de4e-ed11-aac0-0afb9334277d,5f9acb3f-de4e-ed11-aac0-0afb9334277d,c2097f36-4ca3-4537-856d-a649d1557553,0,2022-10-18T08:13:08-04:00,2022-10-18T08:13:19-04:00,"[{""TapTimestamp"":2.2498799562454224,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.6310409307479858,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":5.4076279401779175,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":5.7150169610977173,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":6.2757630348205566,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":6.673285961151123,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":7.1564849615097046,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":7.8646299839019775,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":8.1985809803009033,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":8.4400509595870972,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":8.84084403514862,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":9.4077739715576172,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":9.7812089920043945,""TapIndex"":12,""TapIncorrect"":false}]"
a1fe124c-de4e-ed11-aac0-0afb9334277d,7bfe124c-de4e-ed11-aac0-0afb9334277d,35fe124c-de4e-ed11-aac0-0afb9334277d,c2097f36-4ca3-4537-856d-a649d1557553,0,2022-10-18T08:13:31-04:00,2022-10-18T08:13:40-04:00,"[{""TapTimestamp"":1.1470450162887573,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":1.5972930192947388,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":2.6413580179214478,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.0494459867477417,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":3.6317100524902344,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":4.0592449903488159,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":4.4563560485839844,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":5.9246410131454468,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":6.2657409906387329,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":6.7906750440597534,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":7.1154559850692749,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":7.3480370044708252,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":7.5584219694137573,""TapIndex"":12,""TapIncorrect"":false}]"
2089ca11-df4e-ed11-aac0-0afb9334277d,0f89ca11-df4e-ed11-aac0-0afb9334277d,ff88ca11-df4e-ed11-aac0-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,0,2022-10-18T08:19:05-04:00,2022-10-18T08:19:12-04:00,"[{""TapTimestamp"":1.3813250064849854,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":1.9218109846115112,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":2.6886190176010132,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.0128320455551147,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":3.4294320344924927,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":3.8198930025100708,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":4.0707030296325684,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":4.7198669910430908,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":5.036965012550354,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":5.261970043182373,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":5.8690680265426636,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":6.0698460340499878,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":6.2279850244522095,""TapIndex"":12,""TapIncorrect"":false}]"
cafbc217-df4e-ed11-aac0-0afb9334277d,bafbc217-df4e-ed11-aac0-0afb9334277d,affbc217-df4e-ed11-aac0-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,0,2022-10-18T08:19:22-04:00,2022-10-18T08:19:29-04:00,"[{""TapTimestamp"":1.9062548875808716,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.2469449043273926,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":2.6143479347229004,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":2.9889459609985352,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":3.3303749561309814,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":3.6208570003509521,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":3.980043888092041,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":4.3285889625549316,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":4.6040139198303223,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":5.0626869201660156,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":5.2875639200210571,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":5.4372299909591675,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":5.578921914100647,""TapIndex"":12,""TapIncorrect"":false}]"
ad337c5f-df4e-ed11-aac0-0afb9334277d,84337c5f-df4e-ed11-aac0-0afb9334277d,65337c5f-df4e-ed11-aac0-0afb9334277d,596d1036-bafa-47c3-9886-a588a37789bb,0,2022-10-18T08:21:15-04:00,2022-10-18T08:21:26-04:00,"[{""TapTimestamp"":1.875959038734436,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.3239929676055908,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":2.9060059785842896,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.3406059741973877,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":4.2250709533691406,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":4.62392795085907,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":6.1073880195617676,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":6.4921399354934692,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":6.8431190252304077,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":7.558508038520813,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":8.4394179582595825,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":8.74091100692749,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":9.2076009511947632,""TapIndex"":12,""TapIncorrect"":false}]"
32de6c6b-df4e-ed11-aac0-0afb9334277d,1bde6c6b-df4e-ed11-aac0-0afb9334277d,05de6c6b-df4e-ed11-aac0-0afb9334277d,596d1036-bafa-47c3-9886-a588a37789bb,0,2022-10-18T08:21:36-04:00,2022-10-18T08:21:46-04:00,"[{""TapTimestamp"":2.359961986541748,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.8380880355834961,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":3.4880650043487549,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.9544370174407959,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":4.37119197845459,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":4.88904595375061,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":5.3057079315185547,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":5.8896490335464478,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":6.3545719385147095,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":6.9891510009765625,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":7.52286696434021,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":7.855652928352356,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":8.5062450170516968,""TapIndex"":12,""TapIncorrect"":false}]"
5b7f4789-df4e-ed11-aac0-0afb9334277d,4b7f4789-df4e-ed11-aac0-0afb9334277d,3f7f4789-df4e-ed11-aac0-0afb9334277d,ed16354a-961a-4e5e-83de-ce9a17b25a2f,0,2022-10-18T08:22:27-04:00,2022-10-18T08:22:39-04:00,"[{""TapTimestamp"":1.4128899574279785,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":3.1465200185775757,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":3.563621997833252,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":4.0467230081558228,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":7.0309410095214844,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":7.4815869331359863,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":7.8321409225463867,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":8.4660769701004028,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":9.0664199590682983,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":9.500330924987793,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":9.9341009855270386,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":10.451424956321716,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":10.751860976219177,""TapIndex"":12,""TapIncorrect"":false}]"
