SurveyTrailmakingResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,NumberOfErrors,StartDate,EndDate,Taps
ee4be047-af40-ed11-aac0-0afb9334277d,c74be047-af40-ed11-aac0-0afb9334277d,aa4be047-af40-ed11-aac0-0afb9334277d,c2097f36-4ca3-4537-856d-a649d1557553,3,2022-09-30T07:01:32-04:00,2022-09-30T07:01:52-04:00,"[{""TapTimestamp"":2.0947510004043579,""TapIndex"":1,""TapIncorrect"":true},{""TapTimestamp"":3.1490200757980347,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":4.3899151086807251,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":5.5833320617675781,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":5.9653559923172,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":6.6574250459671021,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":7.6257870197296143,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":8.0259960889816284,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":8.842413067817688,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":10.926191091537476,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":11.219280004501343,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":12.734163999557495,""TapIndex"":11,""TapIncorrect"":true},{""TapTimestamp"":13.109090089797974,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":13.460088014602661,""TapIndex"":12,""TapIncorrect"":true},{""TapTimestamp"":18.233854055404663,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":18.550629019737244,""TapIndex"":12,""TapIncorrect"":false}]"
24d3c15f-af40-ed11-aac0-0afb9334277d,14d3c15f-af40-ed11-aac0-0afb9334277d,09d3c15f-af40-ed11-aac0-0afb9334277d,c2097f36-4ca3-4537-856d-a649d1557553,3,2022-09-30T07:02:07-04:00,2022-09-30T07:02:19-04:00,"[{""TapTimestamp"":1.8249179124832153,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.3983709812164307,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":3.2905060052871704,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.7420899868011475,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":4.1096009016036987,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":4.9822169542312622,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":5.2815719842910767,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":5.6559230089187622,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":5.9401199817657471,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":6.7482129335403442,""TapIndex"":12,""TapIncorrect"":true},{""TapTimestamp"":7.5564680099487305,""TapIndex"":10,""TapIncorrect"":true},{""TapTimestamp"":8.22192096710205,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":8.5224579572677612,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":9.0472579002380371,""TapIndex"":12,""TapIncorrect"":true},{""TapTimestamp"":9.9148659706115723,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":10.355431914329529,""TapIndex"":12,""TapIncorrect"":false}]"
2bc1792b-b040-ed11-aac0-0afb9334277d,1ac1792b-b040-ed11-aac0-0afb9334277d,0fc1792b-b040-ed11-aac0-0afb9334277d,6d9ce034-4fcd-407e-9e35-9dd9caafe1fe,1,2022-09-30T07:08:05-04:00,2022-09-30T07:08:18-04:00,"[{""TapTimestamp"":0.93116903305053711,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.5865069627761841,""TapIndex"":0,""TapIncorrect"":true},{""TapTimestamp"":2.9877289533615112,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":5.1619420051574707,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":5.39614200592041,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":7.0853170156478882,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":7.5204399824142456,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":8.7913650274276733,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":9.5608429908752441,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":9.8953239917755127,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":10.346848964691162,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":11.049340963363648,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":11.685156941413879,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":12.069671034812927,""TapIndex"":12,""TapIncorrect"":false}]"
d0836c37-b040-ed11-aac0-0afb9334277d,c0836c37-b040-ed11-aac0-0afb9334277d,b5836c37-b040-ed11-aac0-0afb9334277d,6d9ce034-4fcd-407e-9e35-9dd9caafe1fe,0,2022-09-30T07:08:28-04:00,2022-09-30T07:08:38-04:00,"[{""TapTimestamp"":1.382767915725708,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.1350399255752563,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":2.5362129211425781,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.1547969579696655,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":3.9246230125427246,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":4.476483941078186,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":4.8613529205322266,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":5.3465440273284912,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":5.9819610118865967,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":6.316728949546814,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":7.1194709539413452,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":7.7050429582595825,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":7.9559229612350464,""TapIndex"":12,""TapIncorrect"":false}]"
f0c80f41-b140-ed11-aac0-0afb9334277d,e0c80f41-b140-ed11-aac0-0afb9334277d,d5c80f41-b140-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,0,2022-09-30T07:15:46-04:00,2022-09-30T07:15:56-04:00,"[{""TapTimestamp"":1.6750280857086182,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.107693076133728,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":3.1404531002044678,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.7733720541000366,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":4.6066510677337646,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":5.12279200553894,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":6.7054380178451538,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":6.9889110326766968,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":7.4050360918045044,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":7.8883320093154907,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":8.2712529897689819,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":8.57119107246399,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":8.9044300317764282,""TapIndex"":12,""TapIncorrect"":false}]"
a4db024d-b140-ed11-aac0-0afb9334277d,92db024d-b140-ed11-aac0-0afb9334277d,87db024d-b140-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,1,2022-09-30T07:16:11-04:00,2022-09-30T07:16:19-04:00,"[{""TapTimestamp"":1.4421850442886353,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":1.6247550249099731,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":1.8583029508590698,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":2.091048002243042,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":2.7576819658279419,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":3.0738459825515747,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":3.4402840137481689,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":3.7237290143966675,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":4.0901319980621338,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":4.4064509868621826,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":5.1727169752120972,""TapIndex"":11,""TapIncorrect"":true},{""TapTimestamp"":5.8058320283889771,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":6.1052500009536743,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":6.3888050317764282,""TapIndex"":12,""TapIncorrect"":false}]"
cde0b44e-b240-ed11-aac0-0afb9334277d,b2e0b44e-b240-ed11-aac0-0afb9334277d,9be0b44e-b240-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,1,2022-09-30T07:23:15-04:00,2022-09-30T07:23:32-04:00,"[{""TapTimestamp"":1.0484549999237061,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.4675639867782593,""TapIndex"":0,""TapIncorrect"":true},{""TapTimestamp"":3.9708539247512817,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":5.8250589370727539,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":6.2594159841537476,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":6.9278469085693359,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":7.6135989427566528,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":9.7509109973907471,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":10.202090978622437,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":11.020205974578857,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":11.704879999160767,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":14.193202018737793,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":14.928175926208496,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":15.279160976409912,""TapIndex"":12,""TapIncorrect"":false}]"
2067a55a-b240-ed11-aac0-0afb9334277d,0567a55a-b240-ed11-aac0-0afb9334277d,f366a55a-b240-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,0,2022-09-30T07:23:43-04:00,2022-09-30T07:23:54-04:00,"[{""TapTimestamp"":1.3828470706939697,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.9355130195617676,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":3.2860790491104126,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.6537930965423584,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":5.2062760591506958,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":5.6072230339050293,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":6.0750950574874878,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":6.6761020421981812,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":7.1102380752563477,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":7.9119640588760376,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":8.9806510210037231,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":9.2317600250244141,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":9.68489408493042,""TapIndex"":12,""TapIncorrect"":false}]"
a9f6fef2-b440-ed11-aac0-0afb9334277d,83f6fef2-b440-ed11-aac0-0afb9334277d,74f6fef2-b440-ed11-aac0-0afb9334277d,ed16354a-961a-4e5e-83de-ce9a17b25a2f,0,2022-09-30T07:42:15-04:00,2022-09-30T07:42:27-04:00,"[{""TapTimestamp"":1.3465819358825684,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.0477089881896973,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":2.76475191116333,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":3.649419903755188,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":4.0506339073181152,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":4.4842329025268555,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":5.2854639291763306,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":7.2208939790725708,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":8.13928997516632,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":8.62355899810791,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":9.1238639354705811,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":10.025049924850464,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":11.193319916725159,""TapIndex"":12,""TapIncorrect"":false}]"
5e8741b8-b540-ed11-aac0-0afb9334277d,4e8741b8-b540-ed11-aac0-0afb9334277d,438741b8-b540-ed11-aac0-0afb9334277d,099765a5-a9c9-4fff-b297-a39eab517267,0,2022-09-30T07:47:50-04:00,2022-09-30T07:48:02-04:00,"[{""TapTimestamp"":2.1257599592208862,""TapIndex"":0,""TapIncorrect"":false},{""TapTimestamp"":2.565964937210083,""TapIndex"":1,""TapIncorrect"":false},{""TapTimestamp"":3.7569459676742554,""TapIndex"":2,""TapIncorrect"":false},{""TapTimestamp"":4.3251259326934814,""TapIndex"":3,""TapIncorrect"":false},{""TapTimestamp"":4.9245378971099854,""TapIndex"":4,""TapIncorrect"":false},{""TapTimestamp"":5.2078239917755127,""TapIndex"":5,""TapIncorrect"":false},{""TapTimestamp"":5.5747619867324829,""TapIndex"":6,""TapIncorrect"":false},{""TapTimestamp"":6.3236339092254639,""TapIndex"":7,""TapIncorrect"":false},{""TapTimestamp"":8.281762957572937,""TapIndex"":8,""TapIncorrect"":false},{""TapTimestamp"":8.7834409475326538,""TapIndex"":9,""TapIncorrect"":false},{""TapTimestamp"":9.3036329746246338,""TapIndex"":10,""TapIncorrect"":false},{""TapTimestamp"":9.5818009376525879,""TapIndex"":11,""TapIncorrect"":false},{""TapTimestamp"":10.240425944328308,""TapIndex"":12,""TapIncorrect"":false}]"
